ind,mother,father,generation
217899,217908,217907,2
218225,218230,218229,2
64024,20583,20582,2
63805,63812,63811,2
16095,16112,16111,2
21660,21673,21672,2
75255,75260,75259,2
294857,294866,294865,2
295138,295143,295142,2
665098,665101,665100,2
415942,415945,415944,2
469348,111709,111708,2
660467,660472,660471,2
416289,17962,17961,2
416399,416402,416401,2
861210,861215,861214,2
416744,416747,416746,2
416750,416753,416752,2
442628,442631,442630,2
442685,442689,442688,2
442697,442700,442699,2
433390,433393,433392,2
442722,442725,442724,2
442736,442739,442738,2
442748,442751,442750,2
443328,443332,443331,2
443343,443346,443345,2
427964,427968,427967,2
106813,106818,106817,2
454428,454431,454430,2
469360,281603,281602,2
676515,658855,658854,2
710888,47802,47801,2
710891,710897,710896,2
711185,711188,711187,2
711218,711223,711222,2
711220,859485,859484,2
714453,859077,859076,2
802402,802407,802406,2
714712,714715,714714,2
715305,715310,715309,2
259434,259439,259438,2
283200,283212,283211,2
716202,716205,716204,2
459966,459975,459974,2
716475,716480,716479,2
716575,283212,283211,2
716577,716582,716581,2
716603,716608,716607,2
716605,716612,716611,2
63149,63156,63155,2
802429,802434,802433,2
828536,828539,828538,2
828614,828617,828616,2
828618,126571,126569,2
472019,705768,705767,2
828847,828850,828849,2
116238,116243,116242,2
462547,54056,54055,2
220595,220600,220599,2
828892,466062,466061,2
859069,859075,859074,2
860777,860784,860783,2
861317,408161,408160,2
863414,861579,861578,2
863988,863993,863992,2
864370,466981,466980,2
864427,460104,460103,2
294842,294845,294844,2
868395,70378,70377,2
128781,121429,121428,2
129023,129026,129025,2
129346,129349,129348,2
129402,129405,129404,2
129426,129429,129428,2
130237,130240,130239,2
130255,130258,130257,2
130719,403469,403468,2
131264,131267,131266,2
752118,752121,49192,2
132992,132995,132994,2
134348,134351,134350,2
135866,135869,135868,2
135886,135889,135888,2
144693,144696,144695,2
144714,144717,144716,2
144826,144829,144828,2
218095,219803,219802,2
218097,218104,218103,2
288716,288724,288723,2
294855,294860,294859,2
296155,408194,408193,2
862628,862633,862632,2
296362,296367,296366,2
212134,281571,281570,2
415946,280925,280924,2
415962,357931,357930,2
